sample_id,batch_500_usd,batch_1681_usd,batch_5000_usd
101,51.1685,15.3494,5.1163
102,16.0049,4.8011,1.6003
103,10.4508,3.1350,1.0450
104,23.3198,6.9954,2.3317
105,9.6487,2.8944,0.9648
106,16.8744,5.0619,1.6873
107,24.6827,7.4043,2.4680
108,41.8680,12.5595,4.1863
109,17.3646,5.2090,1.7363
110,43.2444,12.9724,4.3240
111,9.9144,2.9741,0.9913
112,42.7741,12.8313,4.2769
113,25.0059,7.5012,2.5003
114,33.7498,10.1242,3.3746
115,43.6581,13.0965,4.3653
116,22.8173,6.8447,2.2815
117,34.1100,10.2323,3.4106
118,56.5710,16.9701,5.6565
119,17.6207,5.2858,1.7619
120,21.3823,6.4142,2.1380
121,19.5406,5.8617,1.9538
122,20.3496,6.1044,2.0347
123,31.4989,9.4490,3.1496
124,14.1879,4.2561,1.4186
125,44.6292,13.3878,4.4624
126,11.3679,3.4101,1.1367
127,9.3841,2.8150,0.9383
128,45.6001,13.6790,4.5595
129,21.9823,6.5942,2.1980
130,45.2804,13.5831,4.5276
131,55.1829,16.5537,5.5177
132,12.6294,3.7885,1.2628
133,31.8858,9.5650,3.1882
134,21.2105,6.3627,2.1208
135,41.3811,12.4134,4.1377
136,30.0011,8.9997,2.9998
137,13.8085,4.1422,1.3807
138,27.1712,8.1508,2.7168
139,21.4497,6.4345,2.1447
140,10.5643,3.1691,1.0563
141,37.0671,11.1193,3.7063
142,51.8993,15.5686,5.1894
143,31.1859,9.3551,3.1183
144,6.3905,1.9170,0.6390
145,11.1580,3.3471,1.1157
146,8.5292,2.5586,0.8528
147,48.3982,14.5184,4.8393
148,11.9469,3.5838,1.1946
149,21.1612,6.3479,2.1159
150,7.5260,2.2576,0.7525
151,44.5484,13.3635,4.4544
152,9.8561,2.9566,0.9855
153,57.0714,17.1202,5.7065
154,30.0283,9.0078,3.0025
155,29.1611,8.7477,2.9158
156,12.3294,3.6986,1.2328
157,54.3531,16.3047,5.4347
158,32.9311,9.8786,3.2928
159,9.2640,2.7790,0.9263
160,7.1825,2.1546,0.7182
161,22.7399,6.8215,2.2738
162,28.0568,8.4164,2.8054
163,40.3861,12.1150,4.0382
164,20.6768,6.2026,2.0675
165,7.8192,2.3456,0.7818
166,52.0787,15.6225,5.2073
167,75.3864,22.6143,7.5378
168,22.2604,6.6776,2.2258
169,19.0300,5.7086,1.9028
170,24.2315,7.2689,2.4229
171,19.2787,5.7832,1.9277
172,15.8780,4.7630,1.5876
173,27.3443,8.2027,2.7341
174,15.2407,4.5719,1.5239
175,31.8442,9.5526,3.1841
176,20.7877,6.2358,2.0785
177,54.1014,16.2292,5.4096
178,11.0680,3.3201,1.1067
179,38.2930,11.4871,3.8289
180,8.0506,2.4150,0.8050
181,35.9912,10.7966,3.5987
182,47.3753,14.2116,4.7370
183,14.4322,4.3294,1.4431
184,33.3526,10.0050,3.3349
185,26.2980,7.8888,2.6295
186,64.9319,19.4782,6.4925
187,22.7659,6.8293,2.2763
188,59.8107,17.9419,5.9804
189,31.3271,9.3974,3.1324
190,24.9908,7.4967,2.4988
191,25.6769,7.7025,2.5674
192,32.0512,9.6147,3.2048
193,60.3647,18.1081,6.0358
194,8.1473,2.4440,0.8146
195,24.3017,7.2900,2.4299
196,32.6965,9.8082,3.2693
197,19.2969,5.7886,1.9295
198,31.3864,9.4152,3.1383
199,10.5967,3.1788,1.0596
200,28.6887,8.6060,2.8686
201,9.1871,2.7559,0.9186
202,29.6999,8.9093,2.9697
203,18.4038,5.5207,1.8402
204,27.1494,8.1442,2.7147
205,47.3539,14.2051,4.7349
206,22.6831,6.8044,2.2681
207,6.3810,1.9141,0.6380
208,33.0364,9.9102,3.3033
209,10.5796,3.1737,1.0578
210,70.5983,21.1779,7.0591
211,22.3585,6.7071,2.2356
212,16.7428,5.0225,1.6741
213,20.0659,6.0193,2.0064
214,17.9911,5.3969,1.7989
215,46.9769,14.0920,4.6972
216,16.2726,4.8814,1.6271
217,24.5091,7.3522,2.4506
218,53.5990,16.0785,5.3593
219,9.3519,2.8054,0.9351
220,15.5174,4.6549,1.5516
221,22.8535,6.8556,2.2851
222,27.9616,8.3879,2.7959
